,quality
249,6
2479,6
3704,6
1793,5
751,5
2109,6
1736,5
326,7
853,6
1202,8
944,7
4793,6
4724,6
806,5
3125,5
289,5
172,6
1979,6
1844,6
4674,7
567,5
662,6
4269,5
2089,6
924,5
2696,6
464,6
516,5
4679,5
3075,7
4594,6
3099,7
1371,6
671,5
1743,6
52,6
1000,7
542,5
3665,8
2836,6
194,5
4116,6
2077,6
4078,6
3091,6
1959,5
1875,5
836,7
21,5
4206,6
4258,6
421,7
2489,6
748,6
3480,8
3378,8
2713,6
3924,5
184,6
4836,5
587,5
4362,6
1157,7
3627,5
4354,6
516,6
3298,6
1802,6
2133,6
3878,5
2344,6
1499,6
1168,5
3904,7
3966,6
474,6
4619,5
3974,6
1352,5
4224,7
47,5
3897,6
3374,5
313,6
3210,5
4638,5
1172,6
1030,7
1866,6
204,6
1108,5
608,6
3381,7
788,6
1428,7
931,5
1474,5
681,6
811,6
594,5
1342,6
3291,8
1616,6
1107,7
3521,7
1228,7
1513,6
3968,6
1483,5
2167,7
2887,5
3305,7
2944,6
1083,6
386,7
3485,7
3619,6
1837,7
4551,6
431,5
583,6
125,5
506,5
65,5
3353,6
3669,7
152,5
3837,6
4205,6
1593,6
3470,8
2394,5
2412,4
397,6
754,5
1224,7
1165,5
4211,6
3162,7
1486,5
1797,8
1565,6
2891,6
3936,6
4156,5
4025,6
1359,7
1574,6
316,6
3061,5
257,5
3702,6
4246,6
4718,6
4108,6
381,6
2608,6
955,5
2734,6
1749,6
2919,5
3285,7
15,5
1375,5
771,7
1287,5
3235,6
3549,6
579,7
391,5
2682,6
1596,6
500,6
502,7
1176,4
436,5
1111,7
2005,6
1280,6
1080,6
4355,6
1941,5
1412,8
1725,6
3503,7
1248,6
161,4
4604,6
858,7
974,6
4104,7
868,7
4589,6
719,5
2787,5
1476,5
1435,6
207,4
2827,7
458,6
4833,6
148,7
2397,6
785,6
3026,6
824,5
3599,6
824,5
760,5
4695,7
4247,6
1835,5
3399,6
3629,6
4847,7
4422,6
2859,6
2523,5
4286,6
3000,7
4000,6
2901,7
663,6
3345,6
4844,6
3206,7
1467,4
1714,5
1008,7
700,6
1605,9
989,6
2283,5
1285,6
4698,6
425,6
3957,5
1892,5
3181,6
23,5
790,6
2624,5
3952,6
1694,6
3985,6
267,8
3462,6
57,5
1533,5
1337,5
215,5
2486,5
2655,5
1181,6
1543,6
223,6
2745,7
295,5
4435,6
3459,6
815,5
628,6
1250,7
977,5
1093,7
4332,8
4548,5
1395,6
4085,6
2495,5
4426,6
1997,6
3121,5
399,6
3343,7
1540,6
2316,7
1469,5
1109,4
3322,7
611,6
1264,6
2829,5
889,7
4773,7
4893,6
1716,6
183,6
3812,5
4302,6
1192,6
1204,6
1704,5
330,6
978,7
3834,5
2390,8
2873,8
751,6
998,6
1984,8
1357,6
1279,6
1441,5
1398,7
2970,5
1368,6
3915,7
3475,6
486,5
882,6
1151,5
1033,6
4436,6
613,5
3757,5
2161,7
649,6
467,6
960,6
1174,6
3373,7
3387,5
1337,5
3380,7
1103,5
2579,6
135,5
886,6
4385,5
1408,7
3835,5
3908,7
757,6
1754,6
2289,7
896,7
2420,7
3681,8
2843,6
3706,6
2989,6
4643,6
247,5
664,6
2598,5
1803,6
4188,6
1773,6
1769,7
2240,5
2430,5
2549,5
534,6
4304,6
89,6
1924,4
2975,6
4067,5
1346,7
4450,6
154,5
360,5
588,8
119,6
388,6
1231,5
24,6
4796,7
281,7
2600,7
480,5
3496,7
2664,7
353,7
2706,6
1998,6
1379,6
1023,6
510,6
4423,6
3295,5
4464,5
361,6
460,5
336,6
4489,6
4264,6
1246,5
2654,5
2449,6
4374,5
1166,5
926,6
2191,5
1830,7
36,6
54,6
3676,7
1030,6
4279,6
3013,6
550,7
1404,6
2679,6
3341,6
923,6
898,7
274,5
1515,6
32,6
4061,5
3220,5
323,6
1350,5
187,5
3484,8
747,6
1410,6
1024,6
3559,4
3506,6
421,6
4557,6
310,6
4192,6
3721,5
2711,5
2339,6
4782,6
1582,5
348,6
3581,7
49,5
4700,5
1254,5
3741,7
904,8
4262,6
1977,6
3016,6
4564,7
4367,5
837,7
3847,5
536,5
4038,5
10,5
3404,6
424,7
1185,6
497,5
1029,4
342,6
95,6
102,6
3110,6
4270,6
1771,6
1388,5
1014,5
966,6
1187,6
569,6
1121,6
3991,5
616,7
4229,6
2178,5
4659,6
2968,5
447,6
3183,6
532,6
1285,5
1487,5
1041,6
3902,6
4393,6
1450,7
322,5
2496,5
3,6
3659,8
1009,6
826,7
372,6
3552,6
2357,5
3421,8
365,6
4524,6
1011,6
2533,5
2754,5
4855,6
526,5
2282,5
4325,5
3003,7
1047,5
949,7
1264,5
3130,6
4155,5
1709,5
3429,5
3493,7
2307,5
168,6
1061,8
4327,5
3972,6
2830,5
3180,6
236,6
1443,5
3816,5
3139,6
70,6
3825,6
1006,6
1620,7
149,6
3182,5
2102,5
1514,6
2143,7
1779,8
552,7
3538,7
186,5
728,5
1010,6
466,6
1343,6
45,4
3171,6
4599,7
67,5
686,5
1098,7
472,6
2366,5
1138,5
3044,6
3739,7
4504,5
324,6
1320,5
3426,6
178,5
397,6
994,6
1424,6
2746,6
3040,5
1081,7
1417,3
3648,5
33,6
2173,5
787,6
373,6
1084,7
1321,6
4031,5
4034,5
700,5
1037,5
1060,7
3297,5
1615,6
917,6
4050,7
2775,8
273,5
1135,6
244,7
1122,7
1663,6
1478,3
545,6
2818,4
3342,5
1501,5
1134,5
814,6
897,6
419,5
1021,7
1925,6
4721,6
412,5
1219,8
4656,7
4239,7
224,6
118,6
667,6
3231,6
1315,6
1883,5
3368,6
1349,4
939,5
4794,5
1831,7
779,5
743,5
104,5
2642,5
4805,6
477,6
3360,7
1324,6
1161,6
443,6
2438,5
615,5
1183,5
2360,6
2396,5
3887,6
486,6
2764,6
884,6
4538,6
744,5
562,6
2034,5
2833,7
1279,7
1972,5
229,5
2589,4
1406,8
4098,5
98,5
935,6
3215,6
447,5
3011,6
2581,7
2473,6
2670,7
1023,6
853,5
4565,5
303,5
2128,6
251,3
1085,5
4263,6
3554,6
876,4
1283,8
381,6
1449,8
275,6
944,7
680,5
619,6
1820,6
3694,5
4816,6
749,6
92,5
2858,7
337,6
320,7
674,6
3984,7
3673,7
3319,5
203,6
4029,6
3167,7
1508,6
1249,6
690,4
2490,6
4647,7
3530,5
4563,7
4326,5
2286,5
483,5
1216,8
1458,5
1787,7
211,6
234,6
77,6
972,6
3239,7
3937,5
3413,6
1564,5
2926,8
1488,5
1077,5
3279,6
4443,5
1278,6
2000,5
1370,6
1933,5
538,7
3761,7
3640,6
1764,5
2864,6
4398,5
697,6
888,6
470,5
3802,5
1056,7
4015,5
288,7
4207,7
34,5
1369,5
424,5
3192,6
61,5
2126,5
2771,6
1501,5
2931,8
1707,5
622,5
1021,6
523,5
899,3
3076,5
1376,6
86,6
3317,6
1343,6
610,5
4767,7
154,6
4179,5
2732,5
544,6
3310,7
127,5
2552,5
2221,6
2071,6
26,5
289,7
2820,5
3055,6
329,5
3790,5
3296,5
1003,7
2585,7
1125,6
1028,7
724,4
1838,6
3372,6
1407,6
1255,6
4382,6
3570,6
706,5
3313,7
1091,6
4552,6
484,6
62,5
2694,6
3329,6
2687,5
661,7
3129,6
2187,5
2815,5
4195,8
4484,5
1603,7
4213,4
2050,3
4227,7
41,4
404,5
2647,5
2567,5
609,6
3546,6
3875,7
4672,5
238,6
295,6
258,5
1942,5
631,5
954,6
2720,7
2268,6
2105,5
1299,5
2253,5
4518,6
2960,7
398,6
3326,5
2543,6
1939,5
4101,5
3850,6
1480,6
2148,5
2822,5
3005,6
3779,7
705,5
3405,6
1103,6
1325,6
322,6
3946,6
4168,6
1221,6
451,6
4051,6
2080,5
179,6
979,5
4114,6
84,5
4837,6
130,5
1379,6
143,6
71,5
660,6
37,7
4019,5
1432,7
1493,8
650,7
3700,5
2385,5
2116,4
301,6
1583,5
4617,7
3671,7
1475,6
2688,6
705,5
31,6
125,6
1669,6
346,7
4065,8
2729,7
2330,6
4057,6
3491,6
471,6
34,5
563,7
155,6
155,5
4537,5
1505,3
2459,5
3043,6
3747,6
1067,7
4437,6
3158,7
1854,7
612,6
1374,7
2621,5
4350,6
2728,6
1767,5
2027,5
1063,5
2838,7
530,6
312,6
2117,5
983,6
346,7
3086,7
846,5
694,5
1471,6
964,6
505,7
1271,6
586,6
1244,5
2900,6
2491,5
1728,5
2356,6
90,6
905,5
503,5
1592,6
3246,6
388,6
2176,5
2470,5
3058,5
320,7
4774,4
144,6
438,7
4586,6
2959,7
192,6
3905,7
3047,5
389,7
1074,5
3023,6
2863,6
1251,5
816,5
2248,6
4045,7
2700,7
886,6
446,5
4319,7
3054,6
803,7
1456,6
4219,5
1179,6
1051,6
2551,6
2075,5
1152,4
827,5
529,6
2425,6
1042,4
956,6
1170,6
1206,6
1167,7
1731,6
4629,7
1175,6
3788,5
1518,5
493,6
3798,5
4312,6
1308,6
2966,6
1206,7
4191,5
141,5
2121,7
4292,6
4791,6
3662,4
2563,5
1865,6
1956,5
4100,6
1576,6
4639,6
2571,6
3108,5
1480,4
207,5
2656,4
4340,8
1345,8
1431,5
331,6
448,6
2428,6
1160,7
4068,6
2784,6
515,5
685,5
2267,6
549,6
3877,5
2303,5
986,7
3738,6
1851,6
3256,6
830,4
1169,6
2110,5
426,6
889,5
465,5
1555,7
276,6
791,5
3610,5
3025,7
4175,7
3607,6
1104,5
2617,7
1341,6
2879,6
1519,5
3208,5
642,6
248,7
3276,8
3540,6
3107,6
4682,6
136,5
3022,5
2999,7
963,6
391,6
1329,6
934,5
188,5
3534,5
1589,6
73,6
3870,6
245,6
4778,6
376,7
4469,6
4139,7
343,6
4473,5
2235,6
669,6
90,5
1147,5
621,5
1478,6
928,5
4210,6
1193,7
685,5
301,6
3027,5
3670,6
819,5
504,6
3070,8
3253,8
4670,6
2218,6
4109,6
3156,5
4128,5
158,8
768,7
1113,6
3988,6
2159,4
1931,3
1043,7
2739,7
1322,5
2977,6
2674,7
589,7
208,5
4813,5
3057,5
4004,7
327,6
4860,6
2400,4
389,7
269,6
2881,7
482,5
1157,6
2510,6
639,5
951,7
3095,6
2257,6
683,5
1992,5
342,6
1485,5
827,9
1464,5
453,7
513,7
489,6
641,4
769,7
611,5
965,5
1352,6
3312,7
1139,5
2577,5
867,6
1185,5
299,6
482,5
1483,4
3848,6
4523,5
1262,6
2762,5
501,6
826,6
1384,6
305,6
270,6
2424,5
909,5
2512,6
176,5
1427,5
91,6
1496,5
1602,5
210,6
3699,5
297,7
2971,5
729,5
2263,5
3507,7
2190,6
2721,5
659,4
2939,8
1113,5
559,6
1426,6
12,5
134,6
61,6
932,6
1151,6
833,4
1296,6
2164,5
3919,6
1061,5
2452,7
2361,5
1158,6
4099,6
644,5
199,4
141,5
1742,6
4573,6
184,5
1863,5
545,5
4328,5
1106,8
840,7
3920,6
2193,6
1860,6
217,5
1189,4
2060,5
1915,7
3518,5
452,7
3,6
626,5
4412,7
4731,6
2216,5
1813,6
4562,7
4501,6
1299,3
1249,5
716,5
1870,6
78,5
711,6
1057,5
3677,6
3795,6
1701,5
1,6
2669,5
3487,6
3137,6
4859,6
3782,6
54,6
4097,6
3468,8
1015,5
419,6
551,6
12,5
1434,5
19,6
326,6
1144,5
2806,5
551,7
2278,6
1320,6
1164,6
1909,5
708,6
1695,6
1528,6
916,5
1497,6
806,7
3995,5
810,5
442,7
378,6
1297,6
3618,7
985,6
4854,6
2924,6
3855,6
1906,5
1784,7
2166,5
3643,6
974,7
640,7
1149,6
4143,6
929,7
2024,5
2472,6
3766,5
788,7
1365,5
2536,6
416,6
2113,5
1395,7
4814,6
4660,6
1243,7
1889,5
2710,5
1263,6
2285,5
3132,6
1016,7
3806,5
585,6
2718,6
991,4
194,5
1650,7
2990,7
4863,7
1313,6
3228,6
4333,8
4678,6
1356,5
1315,6
1517,6
963,6
608,5
242,6
2502,4
1449,6
1406,6
1115,8
4277,5
3882,5
4705,6
871,5
4071,6
4620,6
3567,6
341,6
3686,5
2423,6
1360,5
895,6
1220,6
948,7
2740,6
2947,6
1237,5
4719,6
319,6
4543,5
4215,5
1090,8
2301,5
3169,6
4232,6
469,5
2743,6
1544,7
105,5
1017,6
1181,5
3982,7
2556,5
4755,6
1758,5
226,6
1360,6
4519,6
1455,5
1069,5
1492,5
1156,6
3473,8
3533,6
794,5
1833,7
4235,5
1333,8
412,5
4055,6
461,5
226,6
2632,5
3964,5
199,5
612,5
880,5
3620,7
4808,5
4202,6
4820,5
760,6
809,6
3069,8
97,5
638,7
68,8
2181,6
160,5
2976,6
1314,6
2521,7
208,5
1882,5
3587,6
2855,7
973,5
2458,6
2733,7
1253,7
48,5
890,6
947,5
910,6
801,5
2146,6
3050,4
2194,6
2171,7
696,6
2484,5
1353,5
2095,5
2450,5
4555,5
630,5
4508,4
2626,7
330,8
1809,6
3737,5
2653,5
181,5
1678,6
1272,5
844,8
3960,6
3344,6
1270,6
2195,5
2225,4
2982,6
2444,5
1533,6
2593,5
2514,7
2358,5
337,5
2702,5
3199,7
2392,7
117,6
1551,6
3621,7
1970,6
201,5
665,5
752,6
1238,4
1591,6
1708,4
692,5
1358,5
1226,7
1013,5
4479,5
2759,6
1227,5
2964,5
4181,6
2009,7
4124,7
1548,5
1416,6
3290,5
812,5
2649,6
2142,5
368,5
3815,7
1628,6
3576,5
4673,7
3174,8
3474,6
1464,8
1205,5
4488,6
4261,7
2756,6
1346,5
1327,6
4083,5
4789,6
3969,6
3913,6
1236,6
2812,6
3537,5
79,4
686,7
2590,6
85,6
291,5
1521,4
130,5
2314,6
898,6
4018,6
858,7
2519,5
625,5
2683,5
367,5
500,6
511,6
2961,6
810,5
1652,4
742,5
2350,5
123,5
556,5
800,6
2208,5
220,5
3283,6
3840,6
962,5
3953,7
903,6
1288,7
2480,5
4487,6
4553,6
383,6
2196,6
4734,6
1822,7
4416,5
2083,5
1842,6
2657,7
1362,7
1425,6
3445,8
461,5
2355,7
1235,4
721,5
862,5
133,6
1946,6
844,6
1420,5
1824,5
3036,5
2269,6
914,6
1713,6
2504,6
1265,6
2565,5
4725,6
479,6
2386,4
4183,7
1468,7
4285,6
745,6
2946,6
1632,8
4710,7
1359,6
1053,7
3771,6
4394,6
1862,7
1745,5
3393,6
1270,7
4895,6
1961,5
21,7
1348,5
3791,5
1439,5
4743,5
1127,7
1534,7
2735,6
822,5
4497,5
4358,5
765,6
281,8
3683,6
4421,6
4668,7
426,6
1232,7
2826,6
3021,4
1323,5
3794,5
2329,5
4135,5
258,6
2609,6
492,7
967,5
2463,7
2499,6
347,6
4669,5
209,6
629,6
1639,5
3266,6
2281,6
4838,6
429,5
3687,5
96,5
3056,5
2601,5
1246,7
2328,5
56,5
1372,6
3574,6
3135,6
25,5
1625,6
3079,5
411,6
1272,5
3713,5
1336,8
982,6
1579,4
287,7
2788,5
769,5
4111,6
1667,6
1407,6
4145,6
2663,8
203,5
394,5
1881,6
1195,6
378,6
1085,5
3624,7
735,5
616,5
1259,6
406,7
1087,8
1394,5
675,6
1381,5
3018,8
3009,6
4463,6
1457,6
4502,6
4424,6
2165,5
2492,6
4296,6
2875,6
4597,6
1730,6
3288,6
1182,5
1293,4
4567,5
4204,6
2666,7
166,6
955,5
1287,7
4531,6
3572,6
3963,7
1446,5
1777,6
1124,5
618,6
3444,5
1241,5
4867,6
933,5
2029,6
1872,5
444,7
2940,6
432,6
2074,6
1354,5
317,6
3153,6
1524,6
1564,5
159,6
3962,7
2238,6
687,5
980,6
770,7
3992,7
1503,6
2528,6
2852,5
964,6
580,5
4346,6
814,6
2840,6
1516,5
4845,5
2275,4
1231,7
106,5
1537,6
1597,6
4459,5
1520,6
2783,6
3893,5
3346,6
2226,5
1454,5
1727,6
1141,6
1467,7
591,6
69,6
1945,6
2055,6
475,5
634,5
2607,6
15,7
1362,6
4254,5
459,5
263,6
433,5
2388,4
3060,5
4714,7
3213,6
4403,5
1541,7
3020,6
4702,6
53,6
418,6
2531,4
4313,6
200,7
4581,6
632,6
4152,6
1377,6
179,5
778,7
1245,4
145,6
1199,6
1738,5
4347,7
635,5
4365,5
800,5
87,6
3440,5
1766,5
1126,7
3219,7
1450,6
729,6
2560,6
506,7
3466,6
371,6
3006,6
850,7
4359,6
4249,6
2698,6
3448,7
925,7
231,6
3691,6
382,6
430,5
3896,6
875,7
2554,7
1901,5
4200,6
1792,6
101,6
1242,6
3461,8
1531,5
256,5
230,4
1557,6
4273,6
4117,6
1496,5
1486,6
1584,6
1333,5
1910,5
2112,5
220,6
638,5
3860,5
3304,7
997,6
1342,6
3159,6
4016,5
1386,5
2744,6
3218,4
97,7
55,5
1515,6
36,5
2230,7
2160,6
3531,5
2882,5
4043,7
1223,5
1075,7
867,8
3397,6
1230,6
1452,6
517,6
1411,6
139,6
1389,5
127,7
253,5
2415,5
4866,6
227,5
2277,6
3045,6
1003,7
392,6
118,5
1094,6
1653,6
354,6
2883,7
2952,5
1092,6
1659,5
4251,6
1284,5
2967,6
4011,7
81,6
572,5
3102,6
2610,5
1137,8
28,6
1655,5
1463,6
609,6
4151,6
1173,6
1726,6
17,8
1363,4
1597,5
631,5
2634,5
1570,5
761,5
4112,6
2015,6
76,7
1376,5
1140,6
1624,7
1221,7
2872,7
772,7
423,7
2294,7
3277,7
402,5
1494,7
2973,6
1294,4
3082,6
195,5
1783,6
940,7
1623,6
3334,6
3720,7
703,6
561,5
1644,7
4881,6
3384,6
931,5
165,5
372,5
617,6
390,7
4221,6
525,5
1319,5
4320,5
3719,5
4655,7
286,6
4271,5
793,5
3383,6
2402,6
1018,6
1668,7
351,7
408,6
978,7
2395,5
1269,8
1143,6
4787,8
739,6
1590,6
1785,6
3514,6
1223,6
2325,6
2923,6
2200,5
365,7
481,6
660,5
698,5
4266,7
291,6
1996,6
589,6
1218,8
3899,5
849,6
923,6
1189,5
702,6
11,5
571,7
1855,6
527,6
3505,7
3934,6
4826,6
3033,6
1502,5
4297,6
1697,6
4218,6
3483,7
78,5
930,5
1662,7
204,4
1328,6
1660,6
333,5
1090,6
117,6
1100,6
879,5
2045,5
875,7
3037,6
2147,5
850,5
2583,7
274,5
80,6
3106,6
605,6
1527,6
708,6
1025,6
1178,5
2151,5
3912,7
3548,6
4348,6
1481,5
1827,6
4622,7
3112,5
1146,5
763,5
2375,6
4806,6
137,5
3280,5
540,4
2955,5
557,5
3925,5
2768,6
494,6
2359,5
592,5
1445,6
1448,5
2031,5
357,7
3778,7
4278,4
47,5
1361,7
3616,5
4107,6
634,6
1890,5
163,5
2057,7
4115,6
2067,5
2052,5
86,6
4225,5
598,6
2120,5
4467,5
1557,6
1459,7
4770,6
2748,8
3338,6
2443,5
230,7
1531,7
4766,8
2039,5
41,6
4447,6
1640,5
162,6
607,5
3071,7
2369,6
196,5
864,5
38,5
3767,5
298,5
3883,6
4040,5
3768,6
4852,5
1031,6
1752,6
182,5
59,6
2043,6
3675,6
563,6
4288,6
645,7
452,6
1780,5
883,6
4493,6
1985,6
4634,6
4862,6
2069,7
662,4
1092,6
655,5
3527,6
2620,5
2920,4
2296,7
244,5
1472,6
2918,6
703,4
19,5
1027,4
4077,6
709,5
584,7
1258,6
586,7
2534,7
3668,5
1846,5
1609,7
1556,5
2237,4
1222,6
1772,6
4595,6
455,6
3160,6
190,6
296,5
1523,5
1248,7
4701,6
300,6
284,5
1481,6
1393,5
18,4
906,4
4244,5
4284,6
2847,5
4373,6
2503,4
3725,6
277,6
1136,8
1670,6
3881,6
4754,6
1744,5
1426,6
46,4
3723,7
3151,6
344,6
4075,6
1303,5
42,6
2247,6
4769,6
3284,6
3339,6
174,5
4621,7
3698,6
188,8
1635,6
1477,7
1986,6
1526,6
1546,5
872,4
1133,5
856,5
2648,6
3379,5
541,6
16,7
1569,5
737,5
4477,5
456,7
798,6
701,6
2335,5
1518,6
3187,7
2174,7
490,6
1519,5
3205,7
1190,6
2507,7
3249,7
1177,7
446,5
3144,6
837,8
1168,6
3471,6
1312,5
3839,5
1062,6
135,5
780,6
4815,7
1430,5
3418,6
4717,6
1145,5
3690,7
2573,5
4391,5
2115,5
463,6
4010,6
2300,7
535,6
1795,6
4507,5
1580,5
2629,5
971,7
1026,6
1038,7
845,5
795,5
187,5
1522,5
1595,6
2280,6
3315,7
3862,6
2758,6
2135,5
655,6
4872,5
4231,6
728,5
3031,6
3490,7
259,7
3892,5
2063,5
3674,5
1978,6
2229,6
3656,7
1440,5
1470,5
4627,6
4749,6
4884,5
1937,7
2605,6
1137,6
908,4
1292,6
2861,6
4223,4
1443,6
666,6
3358,6
2908,6
876,9
216,5
600,4
1099,5
4757,7
1547,5
1702,4
3351,6
2511,6
798,6
4248,6
1402,8
946,7
243,6
4873,6
1241,7
3032,5
941,7
906,5
2995,6
2365,5
2239,6
836,8
1642,7
3309,7
1100,6
2673,6
4102,5
345,5
2186,5
4280,6
1399,6
758,5
1562,7
1281,6
818,5
3134,6
70,6
592,5
443,7
3200,7
802,7
1502,5
1498,6
4316,5
2448,6
2927,7
3073,5
845,8
4738,6
2119,4
4569,6
